"1", "Antique Clock Shop", ""
"2", "Buy 2", ""
"3", "Clone Ball Antiques", ""
"4", "Footwise", "http://www.footwise.com/wp/wp-content/uploads/2014/10/pdx_store_facadeb031.jpg"
"5", "Goldworks Jewelry", "https://www.eugeneagogo.com/media/uploads/eventmedia/First-Friday-Artwalk-At-Goldworks-Jewelry-Studio/broken-egg-pts-mod-1_2.jpg"
"6", "Harelquin Beads & Jewelry", "https://www.eugeneagogo.com/media/uploads/venuemedia/Harlequin-Beads-And-Jewelry/Harlequin_Beads_Jewelry_Store.jpg"
"7", "Heritage Dry Goods", "http://cdn.shopify.com/s/files/1/0232/4597/t/7/assets/slide-image-4.jpg?5423310929719156239"
"8", "Hutch's Bicycle", "https://i.ytimg.com/vi/uyCeemR-FSw/maxresdefault.jpg"
"9", "J. Michaels Books", "https://usedbookstores.files.wordpress.com/2010/11/img_8198.jpg"
"10", "Kitsch 22", "http://s3-media3.fl.yelpcdn.com/bphoto/__XDU5Ig7X_5ZRmRWhWf8A/o.jpg"
"11", "Kiva Grocery", "https://kivagrocery.files.wordpress.com/2014/10/mg_4735.jpg"
"12", "Lazar's Bazar", "https://upload.wikimedia.org/wikipedia/commons/2/25/Lazar's_Bazar_%28Eugene,_Oregon%29.jpg"
"13", "L Bass Cosmetics & Skincare", "http://s3-media3.fl.yelpcdn.com/bphoto/vNBMkB36twhmYqsywebQzg/o.jpg"
"14", "Oregon Art Supply", "https://www.eugeneagogo.com/media/uploads/venuemedia/Oregon-Art-Supply/Stationery%20image%20II.jpg"
"15", "Out On A Limb Gallery", "https://i.ytimg.com/vi/XmPi4WIIoi0/maxresdefault.jpg"
"16", "Oveissi * Co.", "http://static1.squarespace.com/static/50c934d4e4b0b58a9c48b108/t/50dcb62be4b0a05702a72b22/1356644064930/126_01_Oveissi_best_noflag.jpg"
"17", "Passionflower", "http://media-cdn.tripadvisor.com/media/photo-s/03/72/7f/c5/passionflower-design.jpg"
"18", "Pewter Rabbit", "http://3.bp.blogspot.com/-CkWGNd9JO2w/TkvS2ldzuJI/AAAAAAAAU2E/YxObjT1xekE/s1600/DSCN9324.JPG"
"19", "Schrager & Clarke Gallery", "https://www.eugeneagogo.com/media/cropuploads/dennis_galloway_image_of_karin-crop-720x320+0+0.jpg"
"20", "Shoe-a-holic", "http://shoeaholiceugene.com/wordp/wp-content/uploads/2015/11/shoe.jpg"
"21", "Thunderbird Market", ""
"22", "Titan Bookstore", "http://pivotarchitecture.com/images/portfolio-images/large/titan-store_1_lg.jpg"
"23", "Urban Lumber", "https://i.vimeocdn.com/video/475773637.jpg?mw=1920&mh=1080&q=70"
"24", "Vistra Framing", "https://www.eugeneagogo.com/media/uploads/venuemedia/Vistra-Framing-And-Gallery/panorama2-cropequalizehdr100dpi_1.jpg"
"25", "White Lotus Gallery", "http://3.bp.blogspot.com/-tAeeCExjgbg/TekFib9yYYI/AAAAAAAAHgE/Pr7mz0xAxq8/s1600/WL-736870.jpg"
"26", "Willamette Street Market", ""
